,Track ID,Total Time,Year,BPM,Date Added,Play Count,Skip Count,Rating,Name,Artist,Genre
58,1467,311954,1995,82,2016-02-12T19:41:57Z,36,10,,Gangsta's Paradise (NickT Remix),Coolio,Hip Hop/Rap
59,1469,248528,1995,161,2016-02-12T19:41:57Z,38,7,,Gangsta's Paradise,Coolio,Hip Hop/Rap
60,1471,277890,1996,87,2016-02-12T19:41:57Z,27,18,20,Ambitionz Az a Ridah,2Pac,Hip Hop/Rap
61,1473,307853,1996,93,2016-02-12T19:41:57Z,33,12,20,All Eyez on Me,2Pac,Hip Hop/Rap
62,1475,242703,1977,104,2016-02-12T19:41:57Z,33,9,20,Stayin' Alive,Bee Gees,Pop
63,1477,246204,1997,94,2016-02-12T19:41:57Z,28,10,,Hypnotize,The Notorious B.I.G.,Hip Hop/Rap
64,1479,316708,2007,104,2016-02-12T19:41:57Z,22,13,,Stronger,Kanye West,Hip Hop/Rap
65,1481,217234,1980,110,2016-02-12T19:41:57Z,44,15,20,Another One Bites The Dust,Queen,Rock
66,1483,353619,1981,158,2016-02-12T19:41:57Z,58,8,100,Bohemian Rhapsody (Live 1981),Queen,Rock
67,1485,132231,1976,89,2016-02-12T19:41:57Z,48,13,20,Blitzkrieg Bop,Ramones,Rock
68,1487,219219,2001,115,2016-02-12T19:41:57Z,66,10,20,Toxicity,System Of A Down,Metal
69,1489,206706,2001,63,2016-02-12T19:41:57Z,62,6,20,Chop Suey!,System Of A Down,Metal
70,1491,229564,2004,105,2016-02-12T19:41:57Z,29,9,,Let's Get It Started,The Black Eyed Peas,Hip Hop/Rap
71,1493,163343,1968,83,2016-02-12T19:41:57Z,48,7,,Jailhouse Rock,Elvis Presley,Rock
72,1495,154801,1967,85,2016-02-12T19:41:57Z,46,9,,I'm a Believer,The Monkees,Rock
73,1497,391340,1968,115,2016-02-12T19:41:57Z,61,15,100,Sympathy for the Devil,The Rolling Stones,Rock
74,1499,248111,1964,123,2016-02-12T19:41:57Z,61,7,100,The House of the Rising Sun,The Animals,Rock
75,1501,299441,1991,116,2016-02-12T19:41:57Z,36,13,20,Smells Like Teen Spirit,Nirvana,Rock
76,1503,284264,1993,100,2016-02-12T19:41:57Z,27,9,20,Heart-Shaped Box,Nirvana,Rock
77,1505,390347,1976,74,2016-02-12T19:41:57Z,43,13,20,Hotel California,Eagles,Rock
78,1507,263026,1973,77,2016-02-12T19:41:57Z,47,11,100,Dream On,Aerosmith,Rock
79,1509,424463,1971,116,2016-02-12T19:41:57Z,54,14,,Layla,Derek and the Dominos,Rock
80,1511,322951,1998,95,2016-02-12T19:41:57Z,64,11,,Hit 'Em Up,2Pac,Hip Hop/Rap
81,1513,307330,1982,148,2016-02-12T19:41:57Z,38,12,,Bad to the Bone,George Thorogood & The Destroyers,Rock
82,1515,228675,1995,100,2016-02-12T19:41:57Z,27,10,,Ain't Nobody,LL Cool J,Hip Hop/Rap
83,1517,351686,1970,74,2016-02-12T19:42:27Z,63,6,20,Iron Man,Black Sabbath,Metal
84,1519,237113,2015,107,2016-02-12T19:42:27Z,32,23,,King Kunta,Kendrick Lamar,Hip Hop/Rap
85,1521,226324,1966,160,2016-02-12T19:42:27Z,55,7,,"Paint It, Black",The Rolling Stones,Rock
86,1523,315141,1997,82,2016-02-12T19:42:27Z,43,9,,Hail Mary,Makaveli,Hip Hop/Rap
87,1525,261773,1988,102,2016-02-12T19:42:27Z,33,20,20,Straight Outta Compton,N.W.A,Hip Hop/Rap
88,1527,313965,1991,16,2016-02-12T19:42:27Z,99,11,20,No Vaseline,Ice Cube,Hip Hop/Rap
89,1529,257959,1972,101,2016-02-12T19:42:27Z,83,11,100,Starman,David Bowie,Rock
90,1531,167653,1974,121,2016-02-12T19:42:27Z,36,6,20,Hooked On A Feeling,Blue Swede,Pop
